source_url	parsed_url
https://juncotic.com	https://juncotic.com/category/infosec/
https://juncotic.com	https://juncotic.com/author/d1cor/
https://juncotic.com	https://juncotic.com/cursos/#gnu/linux
https://juncotic.com	https://juncotic.com
https://juncotic.com	https://juncotic.com/sudoers-configurando-la-seguridad-de-sudo-en-gnu-linux/
https://juncotic.com	https://juncotic.com/wp-content/uploads/2016/03/logocompletoazulicono-1.png
https://juncotic.com	http://gmpg.org/xfn/11
https://juncotic.com	https://juncotic.com/blog/
https://juncotic.com	https://juncotic.com/cursos
https://juncotic.com	https://juncotic.com/xmlrpc.php?rsd
https://juncotic.com	https://linkedin.com/company/juncotic
https://juncotic.com	https://juncotic.com/pigeonhole-algoritmos-de-ordenamiento/
https://juncotic.com	mailto:andrea@juncotic.com
https://juncotic.com	https://juncotic.com/cursos/#vim
https://juncotic.com	mailto:info@juncotic.com
https://juncotic.com	http://juncotic.com#team
https://juncotic.com	https://themeisle.com
https://juncotic.com	http://twitter.com/d1cor
https://juncotic.com	http://juncotic.com#contact
https://juncotic.com	https://www.facebook.com/juncotic/
https://juncotic.com	https://juncotic.com/feed/
https://juncotic.com	mailto:d1cor@juncotic.com
https://juncotic.com	https://juncotic.com/etheroops-y-ataques-packet-in-packet/
https://juncotic.com	https://juncotic.com/category/apps/
https://juncotic.com	https://juncotic.com/log-vaciando-registros-en-gnu-linux/
https://juncotic.com	https://juncotic.com/wp-includes/wlwmanifest.xml
https://juncotic.com	https://juncotic.com/cursos/#lpi-linux
https://juncotic.com	https://juncotic.com/curso-redes-tcpip-y-protocolos-de-comunicacion/
https://juncotic.com	https://juncotic.com/cursos/#iptables
https://juncotic.com	http://twitter.com/AndreaCNavarroM
https://juncotic.com	https://juncotic.com/category/programacion/
https://juncotic.com	https://juncotic.com/dev/feed/
https://juncotic.com	https://juncotic.com/comments/feed/
https://juncotic.com	https://www.linkedin.com/in/d1cor
https://juncotic.com	https://www.linkedin.com/in/navarroandrea
https://juncotic.com	https://juncotic.com/cursos/#ssh
https://juncotic.com	https://juncotic.com/curso-html5-y-css3-creacion-de-paginas-web/
https://juncotic.com	https://juncotic.com/portapapeles-entre-vim-y-el-sistema-gnu-linux/
https://juncotic.com	https://t.me/juncotic
https://juncotic.com	https://twitter.com/juncotic
https://juncotic.com	https://juncotic.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjuncotic.com%2F
https://juncotic.com	https://juncotic.com/author/andrea/
https://juncotic.com	http://juncotic.com#features
https://juncotic.com	https://juncotic.com/cursos/
https://juncotic.com	https://juncotic.com/algoritmos-de-ordenamiento/
https://juncotic.com	https://juncotic.com/category/linux/
https://juncotic.com	https://www.youtube.com/c/juncotic?sub_confirmation=1
https://juncotic.com	https://juncotic.com/
